,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
199,0.75,CAML_07VEJJ,14.543869972229004,0.76,[],0,0.52
200,0.75,FINDER_1D,3.5036778450012207,0.2,"{'sigma': 6.254478361117457, 'threshold': 10.0}",0,0.84
201,0.75,FINDER_1D_loop,2.8399999141693115,0.04,"{'sigma': 9.447361864655681, 'threshold': 10.0}",0,0.8
202,0.75,dbscan,0.014371633529663086,0.08,[],0,0.6
203,0.75,OPTICS,44.028810262680054,0.24,[],0,0.48
204,0.75,CAML_87B144,18.957521200180054,0.16,[],1,0.72
205,0.75,CAML_07VEJJ,14.940057516098022,1.04,[],1,0.44
206,0.75,FINDER_1D,2.934109687805176,0.2,"{'sigma': 8.34141517149473, 'threshold': 10.0}",1,0.88
207,0.75,FINDER_1D_loop,2.412278890609741,0.0,"{'sigma': 9.853997439471145, 'threshold': 10.0}",1,0.76
208,0.75,dbscan,0.013118982315063477,0.04,[],1,0.8
209,0.75,OPTICS,36.34967517852783,0.24,[],1,0.52
210,0.75,CAML_87B144,21.2523934841156,0.24,[],2,0.8
211,0.75,CAML_07VEJJ,15.210337400436401,1.12,[],2,0.48
212,0.75,FINDER_1D,3.5535500049591064,0.56,"{'sigma': 6.049550944527955, 'threshold': 10.0}",2,0.88
213,0.75,FINDER_1D_loop,3.0974740982055664,0.0,"{'sigma': 9.088837196002093, 'threshold': 10.0}",2,0.8
214,0.75,dbscan,0.015614986419677734,0.12,[],2,0.4
215,0.75,OPTICS,50.7551703453064,0.36,[],2,0.44
216,0.75,CAML_87B144,20.80385446548462,0.44,[],3,0.76
217,0.75,CAML_07VEJJ,15.451889753341675,1.12,[],3,0.28
218,0.75,FINDER_1D,4.0325164794921875,1.04,"{'sigma': 5.665766240293979, 'threshold': 10.0}",3,0.6
219,0.75,FINDER_1D_loop,3.2785847187042236,0.16,"{'sigma': 8.012849964131417, 'threshold': 10.0}",3,0.6
220,0.75,dbscan,0.015619039535522461,0.04,[],3,0.36
221,0.75,OPTICS,55.08238935470581,0.24,[],3,0.32
222,0.75,CAML_87B144,20.7845196723938,0.32,[],4,0.72
223,0.75,CAML_07VEJJ,16.067086458206177,1.04,[],4,0.44
224,0.75,FINDER_1D,3.1767213344573975,0.28,"{'sigma': 6.445246192392212, 'threshold': 10.0}",4,0.92
225,0.75,FINDER_1D_loop,2.9756879806518555,0.2,"{'sigma': 9.040164684362725, 'threshold': 10.0}",4,0.68
226,0.75,dbscan,0.015770673751831055,0.08,[],4,0.64
227,0.75,OPTICS,54.26454186439514,0.24,[],4,0.48
228,0.75,CAML_87B144,21.761910676956177,0.24,[],5,0.72
229,0.75,CAML_07VEJJ,16.42599320411682,0.96,[],5,0.52
230,0.75,FINDER_1D,2.9035446643829346,0.32,"{'sigma': 6.691868767995993, 'threshold': 10.0}",5,0.88
231,0.75,FINDER_1D_loop,2.535888910293579,0.04,"{'sigma': 9.491548806557317, 'threshold': 10.0}",5,0.84
232,0.75,dbscan,0.013878107070922852,0.0,[],5,0.76
233,0.75,OPTICS,42.91075038909912,0.28,[],5,0.64
234,0.75,CAML_87B144,22.829665422439575,0.32,[],6,0.72
235,0.75,CAML_07VEJJ,16.881312608718872,1.24,[],6,0.24
236,0.75,FINDER_1D,4.449357986450195,0.84,"{'sigma': 6.611372392783469, 'threshold': 10.0}",6,0.8
237,0.75,FINDER_1D_loop,3.392866611480713,0.16,"{'sigma': 8.5539213671747, 'threshold': 10.0}",6,0.6
238,0.75,dbscan,0.017481327056884766,0.0,[],6,0.44
239,0.75,OPTICS,61.05417585372925,0.2,[],6,0.48
240,0.75,CAML_87B144,21.80708074569702,0.16,[],7,0.8
241,0.75,CAML_07VEJJ,16.673959493637085,1.08,[],7,0.4
242,0.75,FINDER_1D,3.2992100715637207,0.56,"{'sigma': 6.357835743957713, 'threshold': 10.0}",7,0.84
243,0.75,FINDER_1D_loop,2.7910661697387695,0.08,"{'sigma': 9.358980846038726, 'threshold': 10.0}",7,0.8
244,0.75,dbscan,0.014574289321899414,0.0,[],7,0.56
245,0.75,OPTICS,44.527836322784424,0.16,[],7,0.48
246,0.75,CAML_87B144,23.289427518844604,0.24,[],8,0.8
247,0.75,CAML_07VEJJ,16.96616268157959,1.24,[],8,0.32
248,0.75,FINDER_1D,4.026451587677002,0.28,"{'sigma': 6.895005939847669, 'threshold': 10.0}",8,0.88
249,0.75,FINDER_1D_loop,3.2505595684051514,0.16,"{'sigma': 8.03712935904714, 'threshold': 10.0}",8,0.64
250,0.75,dbscan,0.015651941299438477,0.08,[],8,0.48
251,0.75,OPTICS,54.74532747268677,0.08,[],8,0.52
252,0.75,CAML_87B144,23.359666109085083,0.36,[],9,0.88
253,0.75,CAML_07VEJJ,18.07684326171875,1.0,[],9,0.32
