,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
290,30,FINDER_1D,0.7825133800506592,0.03333333333333333,"{'sigma': 43.88261356898869, 'threshold': 10.0}",4,0.6
291,30,FINDER_1D_loop,0.7171871662139893,0.03333333333333333,"{'sigma': 57.50163192467434, 'threshold': 10.0}",4,0.5333333333333333
292,30,dbscan,0.0036742687225341797,0.0,[],4,0.0
293,30,OPTICS,4.855414867401123,0.0,[],4,0.4666666666666667
294,30,CAML_87B144,20.334008932113647,0.1,[],5,0.13333333333333333
295,30,CAML_07VEJJ,19.07248830795288,0.03333333333333333,[],5,0.6
296,30,FINDER_1D,0.5406298637390137,0.0,"{'sigma': 37.95815244954308, 'threshold': 10.0}",5,0.6666666666666666
297,30,FINDER_1D_loop,0.6039643287658691,0.0,"{'sigma': 49.98757572471411, 'threshold': 10.0}",5,0.36666666666666664
298,30,dbscan,0.003731250762939453,0.0,[],5,0.0
299,30,OPTICS,5.662539720535278,0.0,[],5,0.4
300,30,CAML_87B144,21.033071994781494,0.06666666666666667,[],6,0.5
301,30,CAML_07VEJJ,19.57191491127014,0.06666666666666667,[],6,0.5333333333333333
302,30,FINDER_1D,0.6021366119384766,0.06666666666666667,"{'sigma': 46.3808370197317, 'threshold': 10.0}",6,0.5666666666666667
303,30,FINDER_1D_loop,0.6949923038482666,0.0,"{'sigma': 55.22661457495367, 'threshold': 10.0}",6,0.4
304,30,dbscan,0.0036482810974121094,0.0,[],6,0.0
305,30,OPTICS,5.081487417221069,0.0,[],6,0.36666666666666664
306,30,CAML_87B144,21.595458984375,0.2,[],7,0.5333333333333333
307,30,CAML_07VEJJ,20.045114517211914,0.03333333333333333,[],7,0.7
308,30,FINDER_1D,0.822930097579956,0.13333333333333333,"{'sigma': 48.48002452146656, 'threshold': 10.0}",7,0.7333333333333333
309,30,FINDER_1D_loop,0.8283908367156982,0.0,"{'sigma': 52.820282694214065, 'threshold': 10.0}",7,0.6
310,30,dbscan,0.0036687850952148438,0.0,[],7,0.0
311,30,OPTICS,4.502643346786499,0.0,[],7,0.5
312,30,CAML_87B144,22.08282971382141,0.1,[],8,0.5
